income,expenses,month,savings
8518911.975431234,57233.27528265057,6,8461678.700148582
8255000.134875039,59695.25380649864,11,8202012.58106854
8581660.447577586,45251.31017641807,3,8536409.13740117
8945472.69491883,38932.05623491243,8,8906540.638683917
8215146.40169135,50962.6300276345,3,8164183.771663716
8215153.225300823,54944.87589305796,12,8166916.049407765
8968823.641783474,50488.35008264003,2,8916099.391700834
8631429.754665138,50398.72252552286,3,8581031.032139616
8117341.506452242,60812.47966473,11,8063236.726787512
8537966.595763342,39931.0703618869,6,8498035.525401456
8119858.809234899,54264.34556540715,2,8063358.563669492
8118897.862912943,46485.251824526946,8,8072412.611088416
8413031.157783771,61042.40314041133,1,8349752.85464336
7517262.150890519,38554.17983013414,7,7478707.971060385
7595549.958222086,58007.865869988724,2,7535306.192352097
8078766.20154802,53195.73488297653,10,8032278.166665044
7891509.78742391,45599.677942873815,12,7852617.809481036
8443074.513389446,40390.31865455177,6,8402684.194734894
7935070.037252425,48560.64181443328,12,7893217.095437992
7725479.675048811,46275.67055824018,2,7676968.104490571
8921623.777980113,47158.131470794295,2,8872229.74650932
8218628.1089299945,46294.75664477492,10,8179041.05228522
8340532.29527547,44500.18226865467,8,8296032.113006815
7720307.457176949,70585.30917928106,12,7656429.847997668
8086207.8555698525,57932.55509611272,2,8026039.40047374
8358568.01277976,48620.304372096674,7,8309947.708407664
7834086.251072937,45057.88790734512,3,7789028.363165592
8468614.850188289,45791.51217363744,8,8422823.338014651
8062826.565588269,50205.05934091176,7,8012621.506247357
8191231.281121544,35570.552413891535,8,8155660.728707653
8062382.712193398,42416.12719990057,7,8019966.5849934975
9082315.971563613,36502.551476868386,11,9052521.120086744
8306856.238913578,48288.49191933258,6,8258567.746994246
7872856.693261283,50506.26160632543,7,7822350.431654958
8654334.830766538,40396.573555779316,5,8613938.25721076
7805054.933414998,58795.10801616074,7,7746259.825398838
8399274.57660574,31519.342216372257,1,8365519.334389367
7497981.436201679,29385.316821355453,1,7466360.219380323
7760440.931342873,46725.40728447297,9,7713715.5240584
8394286.116494004,54082.82837924207,5,8340203.288114762
8619389.916917406,59778.3757013226,5,8559611.541216083
8383690.650543503,40613.92270660535,3,8343076.7278368985
8264399.879234468,54365.28990187614,5,8210034.589332592
8187320.288396984,44373.59565217348,3,8142946.692744811
7697957.811240922,43174.09048024929,9,7654783.720760672
8013281.974621103,52621.101016905806,9,7960660.873604197
8121013.793905749,50552.11489537826,6,8070461.679010371
8751830.628164452,28383.479104795668,1,8721211.249059657
8455281.7674508,57923.58627180853,7,8397358.18117899
7579705.432595627,57060.98503495315,7,7522644.4475606745
8447162.848836964,45830.91742277937,10,8408039.631414184
8152416.831841845,54965.60848165081,10,8104158.923360194
8031121.444390236,49136.40837403831,4,7981985.036016198
8566692.917699795,47049.361892022695,8,8519643.555807773
8740973.42383819,39796.2908260681,6,8701177.133012123
8699527.716331467,38711.26924650924,4,8660816.447084958
7963667.64358038,44489.45461068091,4,7919178.188969699
8183950.131947878,52970.519256648055,2,8128743.71269123
8450146.800529273,47343.84234263076,2,8400567.058186643
8717925.285033515,48111.0736595547,12,8676521.91137396
8113310.021991756,51619.764588554535,4,8061690.257403201
8235301.803444361,19241.774218132858,5,8216060.029226229
7852647.4071982,54992.10091784794,8,7797655.306280352
7815294.655417732,29158.695848120187,6,7786135.959569612
8650170.66363869,41476.47319646695,4,8608694.190442223
8876150.9562667,41411.820330421615,11,8841446.835936278
8282536.915635381,33138.88675374251,7,8249398.028881638
8729557.654680446,55099.97045559852,8,8674457.684224848
8462770.358129181,38299.16753594697,2,8422235.290593235
8044339.198695828,54524.692116646824,12,7996522.206579181
8462670.434166905,44298.36111073613,7,8418372.073056169
8951709.833275255,46748.56234235271,2,8902725.370932901
8297575.863399193,43169.1642648865,2,8252170.799134307
8962768.359553482,33243.43074374711,8,8929524.928809736
7223638.894679377,51392.31192640744,2,7170010.68275297
8654067.831146695,47009.738622838486,11,8613765.792523855
8348644.789756474,30796.55413114665,9,8317848.235625328
8188191.57827512,47596.80924638526,12,8147302.469028735
8350603.916754248,55904.29526351702,1,8292463.7214907305
7486386.048736159,52322.043172766236,9,7434064.005563392
8221165.2450597435,39363.89477070987,1,8179565.450289033
8460890.305443197,48302.0787956577,10,8419295.92664754
8926713.199925818,48549.124755932215,10,8884871.775169885
8097060.821589386,61055.70326577474,2,8033769.218323612
7976437.220736643,48133.87791057812,6,7928303.342826066
8103924.081747151,48564.120475818054,6,8055359.961271333
8692928.448986325,51696.54309947918,1,8638996.005886847
8449102.62107542,46853.63472266953,7,8402248.986352751
